student_Id,Subject,Marks,College_list,Year,Class
2011JNe,A1,93,College_A,2011,VIII
2011JNe,A2,55,College_A,2011,VIII
2011JNe,A3,64,College_A,2011,VIII
2011JNe,A4,73,College_A,2011,VIII
2011JNe,A5,58,College_A,2011,VIII
2011nbo,A1,75,College_A,2011,VIII
2011nbo,A2,94,College_A,2011,VIII
2011nbo,A3,50,College_A,2011,VIII
2011nbo,A4,82,College_A,2011,VIII
2011nbo,A5,53,College_A,2011,VIII
2011HZH,A1,82,College_A,2011,VIII
2011HZH,A2,64,College_A,2011,VIII
2011HZH,A3,69,College_A,2011,VIII
2011HZH,A4,78,College_A,2011,VIII
2011HZH,A5,54,College_A,2011,VIII
2011qcv,A1,73,College_A,2011,VIII
2011qcv,A2,52,College_A,2011,VIII
2011qcv,A3,70,College_A,2011,VIII
2011qcv,A4,83,College_A,2011,VIII
2011qcv,A5,58,College_A,2011,VIII
2011ttO,A1,73,College_A,2011,VIII
2011ttO,A2,60,College_A,2011,VIII
2011ttO,A3,86,College_A,2011,VIII
2011ttO,A4,83,College_A,2011,VIII
2011ttO,A5,78,College_A,2011,VIII
2011EnP,A1,50,College_A,2011,VIII
2011EnP,A2,53,College_A,2011,VIII
2011EnP,A3,78,College_A,2011,VIII
2011EnP,A4,82,College_A,2011,VIII
2011EnP,A5,68,College_A,2011,VIII
2011cPR,A1,74,College_A,2011,VIII
2011cPR,A2,69,College_A,2011,VIII
2011cPR,A3,78,College_A,2011,VIII
2011cPR,A4,85,College_A,2011,VIII
2011cPR,A5,56,College_A,2011,VIII
2011dMt,A1,79,College_A,2011,VIII
2011dMt,A2,78,College_A,2011,VIII
2011dMt,A3,79,College_A,2011,VIII
2011dMt,A4,86,College_A,2011,VIII
2011dMt,A5,79,College_A,2011,VIII
2011UVT,A1,93,College_A,2011,VIII
2011UVT,A2,62,College_A,2011,VIII
2011UVT,A3,60,College_A,2011,VIII
2011UVT,A4,62,College_A,2011,VIII
2011UVT,A5,60,College_A,2011,VIII
2011Ods,A1,83,College_A,2011,VIII
2011Ods,A2,72,College_A,2011,VIII
2011Ods,A3,84,College_A,2011,VIII
2011Ods,A4,56,College_A,2011,VIII
2011Ods,A5,92,College_A,2011,VIII
2011uUA,A1,66,College_A,2011,VIII
2011uUA,A2,89,College_A,2011,VIII
2011uUA,A3,62,College_A,2011,VIII
2011uUA,A4,80,College_A,2011,VIII
2011uUA,A5,60,College_A,2011,VIII
2011Niv,A1,69,College_A,2011,VIII
2011Niv,A2,77,College_A,2011,VIII
2011Niv,A3,79,College_A,2011,VIII
2011Niv,A4,83,College_A,2011,VIII
2011Niv,A5,87,College_A,2011,VIII
2011mrU,A1,92,College_A,2011,VIII
2011mrU,A2,72,College_A,2011,VIII
2011mrU,A3,56,College_A,2011,VIII
2011mrU,A4,51,College_A,2011,VIII
2011mrU,A5,85,College_A,2011,VIII
2011oZQ,A1,90,College_A,2011,VIII
2011oZQ,A2,73,College_A,2011,VIII
2011oZQ,A3,63,College_A,2011,VIII
2011oZQ,A4,68,College_A,2011,VIII
2011oZQ,A5,80,College_A,2011,VIII
2011UjQ,A1,58,College_A,2011,VIII
2011UjQ,A2,85,College_A,2011,VIII
2011UjQ,A3,52,College_A,2011,VIII
2011UjQ,A4,86,College_A,2011,VIII
2011UjQ,A5,59,College_A,2011,VIII
2011JpT,A1,67,College_A,2011,VIII
2011JpT,A2,81,College_A,2011,VIII
2011JpT,A3,84,College_A,2011,VIII
2011JpT,A4,64,College_A,2011,VIII
2011JpT,A5,67,College_A,2011,VIII
2011ika,A1,50,College_A,2011,VIII
2011ika,A2,61,College_A,2011,VIII
2011ika,A3,83,College_A,2011,VIII
2011ika,A4,81,College_A,2011,VIII
2011ika,A5,77,College_A,2011,VIII
2011kTX,A1,75,College_A,2011,VIII
2011kTX,A2,82,College_A,2011,VIII
2011kTX,A3,63,College_A,2011,VIII
2011kTX,A4,70,College_A,2011,VIII
2011kTX,A5,51,College_A,2011,VIII
2011BVm,A1,56,College_A,2011,VIII
2011BVm,A2,89,College_A,2011,VIII
2011BVm,A3,67,College_A,2011,VIII
2011BVm,A4,85,College_A,2011,VIII
2011BVm,A5,65,College_A,2011,VIII
2011rgW,A1,93,College_A,2011,VIII
2011rgW,A2,72,College_A,2011,VIII
2011rgW,A3,64,College_A,2011,VIII
